obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
slaskie,"Sosnowiec, Zagórze, Romana Dmowskiego",536200,76.6,7000,4
slaskie,"Katowice, Osiedle Tysiąclecia, Osiedle Tysiąclecia",395000,47,8404,3
slaskie,"ul. Karola Szymanowskiego, Siemianowice Śląskie, śląskie",,65.07,,4
slaskie,"Katowice, Brynów-Zgrzebnioka, ul. Ceglana",,33.83,,2
slaskie,"Katowice, Centrum, ul. Tadeusza Kościuszki",390000,43,9070,1
slaskie,"Katowice, Ligota-Panewniki, ul. Kijowska",,91.54,,4
slaskie,"Zawiercie, śląskie",240000,47,5106,3
slaskie,"Katowice, Centrum, ul. Tadeusza Kościuszki",315000,35,9000,1
slaskie,"Bielsko-Biała, Straconka",650000,70.65,9200,3
slaskie,"ul. Karola Hermisza, Zabrze, śląskie",359000,73.5,4884,4
slaskie,"ul. Łąkowa, Zabrze, śląskie",,89.84,,4
slaskie,"Sosnowiec, Środula, ul. Seweryna Goszczyńskiego",296000,61.16,4840,3
slaskie,"Częstochowa, Parkitka, ul. Jasińskiego",375600,50.08,7500,2
slaskie,"Dąbrowa Górnicza, Centrum, Wyszyńskiego 5",325000,49.8,6526,2
slaskie,"Kościuszki, Chorzów, śląskie",,50.91,,3
slaskie,"Bielsko-Biała, śląskie",447000,56,7982,3
slaskie,"Mysłowice, śląskie",330000,48.1,6861,3
slaskie,"Rybnik, śląskie",219900,40.15,5477,2
slaskie,"Ruda Śląska, Kochłowice",339000,53,6396,3
slaskie,"Siemianowice Śląskie, Bytków",260000,60,4333,2
slaskie,"Chorzów, śląskie",239800,39.1,6133,2
slaskie,"Józefa Rudzkiego, Bytom, śląskie",239000,42.25,5657,2
slaskie,"Rybnik, Niedobczyce",199800,40.16,4975,2
slaskie,"Chorzowska 17, Gliwice, śląskie",212000,30,7067,1
slaskie,"ul. Łąkowa, Zabrze, śląskie",,44,,2
slaskie,"Zabrze, Grzybowice, Apatytowa",429000,60.12,7136,3
slaskie,"Bytom, Centrum",215000,73.22,2936,3
slaskie,"Jaworzno, śląskie",475000,65.17,7289,2
slaskie,"Ustroń, śląskie",330000,36,9167,2
slaskie,"Częstochowa, Północ, ul. Kukuczki",320000,51,6275,2
slaskie,"Bytom, Śródmieście",429000,90,4767,4
slaskie,"os. XXX-lecia PRL, Wodzisław Śląski, śląskie",315000,55,5727,3
slaskie,"Katowice, Bogucice, ul. Nadgórników",,42.81,,2
slaskie,"Katowice, Osiedle Tysiąclecia",379000,57,6649,3
slaskie,"os. Cypriana Kamila Norwida, Mikołów, śląskie",225000,45.4,4956,3
slaskie,"Cieszyn, śląskie",463000,62.4,7420,3
slaskie,"Chorzów, śląskie",256312,27.86,9200,1
slaskie,"Ruda Śląska, Bykowina",288000,47.88,6015,2
slaskie,"Czeladź, Piaski",229000,50.2,4562,2
slaskie,"Katowice, Bogucice, ul. Nadgórników",,73.32,,4
slaskie,"Dąbrowa Górnicza, Gołonóg",349000,64.6,5402,3
slaskie,"Dąbrowa Górnicza, Gołonóg",279000,47.8,5837,3
slaskie,"Sosnowiec, Maczki",189000,35.42,5336,2
slaskie,"Katowice, Murcki, ul. Roberta Mruczka",420000,75,5600,3
slaskie,"ul. Jagodowa, Zabrze, śląskie",275000,60,4583,3
slaskie,"Henryka Sienkiewicza, Dąbrowa Górnicza, śląskie",169000,35.3,4788,2
slaskie,"Dąbrowa Górnicza, Mydlice",330000,49,6735,2
slaskie,"Sosnowiec, Zagórze, Koszalińska",330000,72,4583,3
slaskie,"Katowice, Centrum, Francuska 14",650000,96,6771,2
slaskie,"Sosnowiec, Zagórze",244900,37,6619,3
slaskie,"Olimpijska/al. Korfantego, Katowice, śląskie",,25.19,,1
slaskie,"Świętochłowice, Zgoda",212000,34.2,6199,2
slaskie,"Katowice, Brynów-Zgrzebnioka, ul. Ceglana",,79.42,,4
slaskie,"Częstochowa, Podjasnogórska",496930,80.15,6200,4
slaskie,"Bielsko-Biała, Kamienica",410000,63,6508,3
slaskie,"Katowice, Załęże, ul. Johna Baildona 18C",665000,51,13039,3
slaskie,"Częstochowa, Dźbów, ul. Dźbowska 77",680000,89,7640,3
slaskie,"ul. Brzoskwiniowa, Tychy, śląskie",,71.67,,4
slaskie,"Bytom, Stroszek, Tysiąclecia",249000,48.1,5177,3
slaskie,"Katowice, Piotrowice - Ochojec, ul. Rzepakowa",684614,86.66,7900,4
slaskie,"Bielsko-Biała, Złote Łany, ul. Jutrzenki",270000,33,8182,1
slaskie,"ul. Karola Szymanowskiego, Siemianowice Śląskie, śląskie",,58.74,,3
slaskie,"Gliwice, Śródmieście, Centrum, ul. Jana Kochanowskiego",716500,78.9,9081,4
slaskie,"ul. Jana Rymarkiewicza, Zabrze, śląskie",199999,42.3,4728,2
slaskie,"Gliwice, Zatorze, ul. Jarosława Dąbrowskiego",768000,86,8930,4
slaskie,"Gliwice, Sośnica, ul. ks. dr. Antoniego Korczoka",389000,53,7340,3
slaskie,"ul. Kozielska, Gliwice, śląskie",579000,54.71,10583,4
slaskie,"Katowice, Osiedle Paderewskiego - Muchowiec, gen. W. Sikorskiego",,35.55,,2
slaskie,"Józefa Brudnego, Pszczyna, śląskie",360000,66.3,5430,3
slaskie,"Częstochowa, Tysiąclecie",278000,53,5245,2
slaskie,"ul. Kozielska, Gliwice, śląskie",355000,64,5547,3
slaskie,"ul. Jeziorna, Siewierz, śląskie",,42.48,,2
slaskie,"Gliwice, Łabędy",375000,63.74,5883,3
slaskie,"ul. Kazimierza Kopczyńskiego, Bielsko-Biała, śląskie",650000,82.2,7908,5
slaskie,"ul. Nadrzeczna, Ustroń, śląskie",859000,94.3,9109,5
slaskie,"Będzin, Syberka",169900,18,9439,1
slaskie,"Zabrze, Centrum",398000,67,5940,3
slaskie,"ul. Bukowina, Orzesze, śląskie",134000,31.13,4305,2
slaskie,"Tychy, Żwaków, ul. Żorska",450000,42,10714,2
slaskie,"ul. Koszalińska, Sosnowiec, śląskie",,60.19,,3
slaskie,"Zawiercie, śląskie",334000,44,7591,2
slaskie,"Sosnowiec, Sielec, ul. Klimontowska",,80,,4
slaskie,"Katowice, Brynów-Zgrzebnioka, ul. Ceglana",,57.9,,3
slaskie,"Ruda Śląska, Wirek, ul. Obrońców Westerplatte",215000,47.5,4526,2
slaskie,"ul. Orląt Lwowskich 11, Bytom, śląskie",300000,75.62,3967,3
slaskie,"Bielsko-Biała, Złote Łany",239000,29,8241,1
slaskie,"Bielsko-Biała, Kamienica",799000,77.03,10373,4
slaskie,"Pszczyna, śląskie",527000,85,6200,4
slaskie,"Częstochowa, Parkitka, ul. Jasińskiego",432375,57.65,7500,3
slaskie,"Katowice, Osiedle Paderewskiego - Muchowiec, Osiedle Paderewskiego, Graniczna",489000,63,7762,3
slaskie,"Katowice, Dąb, Brzoskwiniowa",249000,35.7,6975,2
slaskie,"Katowice, śląskie",692386,80.51,8600,4
slaskie,"Katowice, Koszutka",381100,41.2,9250,2
slaskie,"Katowice, Koszutka",567460,66.76,8500,3
slaskie,"Katowice, śląskie",439976,51.16,8600,2
slaskie,"Katowice, śląskie",635145,60.49,10500,3
slaskie,"Katowice, śląskie",541268,59.48,9100,3
